"","original","bias","std. error","min. c.i.","max. c.i.","rank","param","tree","table"
"41",0.566483779059825,0.0106777348931266,0.11944609886293,0.305061714306486,0.784228793347813,"T","epc.root_distrib_parm","dec","resil"
"42",0.0308166093807785,-0.0135388220631085,0.153262123928646,-0.228411019004892,0.378256958010097,"S","epc.root_distrib_parm","dec","resil"
"43",0.529000317509096,-0.0081983900780247,0.114742001999498,0.285050062160355,0.746769370449475,"T","epc.vpd_close","dec","resil"
"44",-0.114150801757312,-0.0025282174725562,0.186434483269751,-0.466370220639438,0.301875800206053,"S","epc.vpd_close","dec","resil"
"45",0.693726578365529,0.00786411627880901,0.144745780778837,0.384554403692545,0.986887601522146,"T","psi_air_entry","dec","resil"
"46",-0.0774263734233066,-0.00124563446835065,0.202677043949782,-0.473814759159477,0.432615736810384,"S","psi_air_entry","dec","resil"
"47",0.109063236417752,0.00272553950654102,0.0256988265887829,0.051244562637893,0.151273629512445,"T","epc.alloc_stemc_leafc","evg","resil"
"48",0.0237351834671015,-0.0270747777874184,0.131770519995136,-0.190696498648485,0.329096933509917,"S","epc.alloc_stemc_leafc","evg","resil"
"49",0.395779039006996,0.00139796897026717,0.0682290478609591,0.252009165425778,0.530043943439805,"T","epc.branch_turnover","evg","resil"
"50",0.207974562249673,-0.041610881659575,0.147542407622507,0.0241900991737158,0.618585053708901,"S","epc.branch_turnover","evg","resil"
"51",0.256290734967855,0.0103359981798948,0.0543616150588142,0.139454867477457,0.346642321436246,"T","epc.froot_turnover","evg","resil"
"52",0.131214948513146,-0.0329385550496853,0.134715366303441,-0.0369437644439716,0.486375158543023,"S","epc.froot_turnover","evg","resil"
"53",0.261402024352266,0.00485622063088753,0.0703510170565483,0.0620048948729655,0.381724795008908,"T","epc.netpabs_sunlit","evg","resil"
"54",0.151481808288737,-0.0401184862351786,0.13664269093904,-0.0532006436894997,0.494315352538702,"S","epc.netpabs_sunlit","evg","resil"
"55",0.412333127765579,0.0222240427145977,0.0880470274124935,0.213493145555354,0.540089615403124,"T","epc.root_distrib_parm","evg","resil"
"56",0.144902359301361,-0.0364853229666033,0.134319619319266,-0.0519533813184329,0.481644174039507,"S","epc.root_distrib_parm","evg","resil"
"57",0.121086819871901,0.00637338885000691,0.0387184748513035,0.0221666645283433,0.175261683962344,"T","epc.vpd_close","evg","resil"
"58",0.0914315277867457,-0.0374232073060913,0.138371661930811,-0.0944706946100412,0.482093491148134,"S","epc.vpd_close","evg","resil"
"59",0.432926499739308,0.00892005360046927,0.095973519628722,0.213399235367443,0.586626235130559,"T","psi_air_entry","evg","resil"
"60",0.119934891503317,-0.0287980967159793,0.150969830360656,-0.102440440472516,0.48131402108917,"S","psi_air_entry","evg","resil"
