"","year","month","tmin","tmax","spei","drought","yrmo","tave","wy","wymo","p","T_anom","P_anom"
"656",1997,4,12.2777777777778,21.8611111111111,0.736547518515932,"none","1997-4",17.0694444444444,1997,7,0,1.78409090909091,-32.3237661912208
"657",1997,5,15.4659498207885,23.3870967741935,0.684125818425197,"none","1997-5",19.426523297491,1997,8,0,3.11363127240143,-8.7121999767875
"658",1997,6,15.7592592592593,22.9259259259259,0.69897703391445,"none","1997-6",19.3425925925926,1997,9,0,1.66327376044749,-2.25063290401266
"659",1997,7,15.8602150537634,22.9749103942652,0.698193793446655,"none","1997-7",19.4175627240143,1997,10,0.508,-0.0964037455972893,-0.0461818174545454
"660",1997,8,17.6344086021505,25.5017921146953,0.687689782550497,"none","1997-8",21.5681003584229,1997,11,0.508,1.55721156027403,-0.231493670594937
"661",1997,9,18.4074074074074,28.1296296296296,0.674989404910853,"none","1997-9",23.2685185185185,1997,12,1.27,3.78307291666667,-3.4258249964375
"662",1997,10,14.6057347670251,24.3817204301075,0.390445701103012,"none","1997-10",19.4937275985663,1998,1,3.81,1.72234629170113,-11.7328461374744
"663",1997,11,12.2962962962963,21.6111111111111,0.548587762672167,"none","1997-11",16.9537037037037,1998,2,109.22,1.80525878442546,62.9040769632308
"664",1997,12,8.44086021505377,19.3458781362007,0.45527197511032,"none","1997-12",13.8933691756272,1998,3,170.688,1.06873002034292,97.0177027784189
"665",1998,1,9.42652329749104,18.0824372759857,0.251633308521976,"none","1998-1",13.7544802867384,1998,4,125.984,1.20094660417241,25.4130258221923
"666",1998,2,9.3452380952381,17.5793650793651,1.78987781749564,"none","1998-2",13.4623015873016,1998,5,542.544,0.320396597336256,440.940743771564
"667",1998,3,10.3942652329749,18.9247311827957,1.9014484643212,"none","1998-3",14.6594982078853,1998,6,83.312,0.704425842747604,4.47658294213923
"668",1998,4,10.2407407407407,19.4814814814815,2.06177061707137,"none","1998-4",14.8611111111111,1998,7,69.342,-0.424242424242426,37.0182338087792
"669",1998,5,12.2401433691756,19.8924731182796,2.16950800538033,"none","1998-5",16.0663082437276,1998,8,80.01,-0.246583781362013,71.2978000232125
"670",1998,6,13.7222222222222,20.5740740740741,2.1758790246408,"none","1998-6",17.1481481481482,1998,9,6.858,-0.531170683996958,4.60736709598734
"671",1998,7,16.5412186379928,23.8351254480287,2.17631240318569,"none","1998-7",20.1881720430108,1998,10,0,0.674205573399121,-0.554181817454545
"672",1998,8,17.1505376344086,26.0573476702509,2.18444602228758,"none","1998-8",21.6039426523298,1998,11,0,1.59305385418085,-0.739493670594937
"673",1998,9,16.712962962963,23.587962962963,2.27664529466023,"none","1998-9",20.150462962963,1998,12,4.318,0.665017361111111,-0.377824996437501
"674",1998,10,12.6164874551971,23.1182795698925,2.25936259826422,"none","1998-10",17.8673835125448,1999,1,0.762,0.0960022056796284,-14.7808461374744
"675",1998,11,9.70370370370371,20.0092592592593,2.11738103330712,"none","1998-11",14.8564814814815,1999,2,20.574,-0.291963437796765,-25.7419230367692
"676",1998,12,6.61290322580645,18.5125448028674,1.89318777186934,"none","1998-12",12.5627240143369,1999,3,21.59,-0.261915140947403,-52.0802972215811
"677",1999,1,8.15412186379929,18.8530465949821,1.75012308753977,"none","1999-1",13.5035842293907,1999,4,52.07,0.950050546824734,-48.5009741778077
"678",1999,2,8.2936507936508,18.1547619047619,0.25226522882155,"none","1999-2",13.2242063492064,1999,5,24.384,0.0823013592410184,-77.2192562284359
"679",1999,3,8.5483870967742,17.2043010752688,0.365626232466169,"none","1999-3",12.8763440860215,1999,6,93.98,-1.07872827911619,15.1445829421392
"680",1999,4,9.62962962962963,18.7222222222222,0.281603969974505,"none","1999-4",14.1759259259259,1999,7,57.912,-1.10942760942761,25.5882338087792
"681",1999,5,12.0071684587814,18.4050179211469,-0.0395302156764288,"none","1999-5",15.2060931899642,1999,8,0,-1.10679883512545,-8.7121999767875
"682",1999,6,12.7222222222222,19.3888888888889,-0.0313364279745938,"none","1999-6",16.0555555555556,1999,9,3.556,-1.62376327658956,1.30536709598734
"683",1999,7,15.4838709677419,23.9247311827957,-0.0584676478301167,"none","1999-7",19.7043010752688,1999,10,0,0.190334605657185,-0.554181817454545
"684",1999,8,14.1397849462366,23.1003584229391,-0.0711027859329966,"none","1999-8",18.6200716845878,1999,11,0,-1.39081711356109,-0.739493670594937
"685",1999,9,13.9814814814815,21.8518518518519,-0.0998874009240075,"none","1999-9",17.9166666666667,1999,12,0,-1.56877893518519,-4.6958249964375
"686",1999,10,13.073476702509,24.4892473118279,-0.107616802914819,"none","1999-10",18.7813620071685,2000,1,0,1.00998070030328,-15.5428461374744
"687",1999,11,10.5925925925926,20.3333333333333,0.0232834453274415,"none","1999-11",15.462962962963,2000,2,39.37,0.314518043684709,-6.94592303676923
"688",1999,12,7.90322580645161,21.1290322580645,-0.1618223202271,"none","1999-12",14.5161290322581,2000,3,0,1.69148987697375,-73.6702972215811
"689",2000,1,9.17562724014337,18.2616487455197,-0.0701693250237918,"none","2000-1",13.7186379928315,2000,4,61.722,1.1651043102656,-38.8489741778077
"690",2000,2,9.36781609195403,17.4329501915709,0.946771092159495,"none","2000-2",13.4003831417625,2000,5,274.574,0.258478151797124,172.970743771564
"691",2000,3,9.30107526881721,18.405017921147,0.958263750073321,"none","2000-3",13.8530465949821,2000,6,94.488,-0.102025770155619,15.6525829421392
"692",2000,4,11.6481481481482,19.9074074074074,1.08176123826737,"none","2000-4",15.7777777777778,2000,7,107.442,0.492424242424246,75.1182338087792
"693",2000,5,13.3691756272401,21.6487455197133,1.04030427013758,"none","2000-5",17.5089605734767,2000,8,0,1.1960685483871,-8.7121999767875
"694",2000,6,14.6574074074074,22.7037037037037,1.00820613224399,"none","2000-6",18.6805555555556,2000,9,0.254,1.00123672341044,-1.99663290401266
"695",2000,7,14.9283154121864,23.494623655914,0.98813281800048,"none","2000-7",19.2114695340502,2000,10,0,-0.30249693556145,-0.554181817454545
"696",2000,8,15.3942652329749,24.3727598566308,0.965234504213875,"none","2000-8",19.8835125448029,2000,11,0,-0.127376253346025,-0.739493670594937
"697",2000,9,15.4537037037037,24.7592592592592,0.981864327265086,"none","2000-9",20.1064814814815,2000,12,0,0.621035879629623,-4.6958249964375
"698",2000,10,13.2437275985663,21.1290322580645,1.36528545927387,"none","2000-10",17.1863799283154,2001,1,118.364,-0.585001378549762,102.821153862526
"699",2000,11,8.22222222222223,20.1018518518519,1.24318155315293,"none","2000-11",14.162037037037,2001,2,0,-0.986407882241211,-46.3159230367692
"700",2000,12,8.46774193548387,19.4086021505376,1.25546902100365,"none","2000-12",13.9381720430107,2001,3,2.54,1.11353288772643,-71.1302972215811
"701",2001,1,6.73835125448029,17.7777777777778,1.54693829548509,"none","2001-1",12.258064516129,2001,4,191.262,-0.295469166436906,90.6910258221923
"702",2001,2,7.8968253968254,16.4087301587302,1.24210574495918,"none","2001-2",12.1527777777778,2001,5,148.336,-0.989127212187555,46.7327437715641
"703",2001,3,10.663082437276,18.7275985663082,1.39226480456758,"none","2001-3",14.6953405017921,2001,6,152.654,0.740268136654421,73.8185829421392
"704",2001,4,9.48148148148149,18.537037037037,1.24003490858002,"none","2001-4",14.0092592592593,2001,7,40.894,-1.27609427609428,8.57023380877922
"705",2001,5,13.9068100358423,20.2688172043011,1.27763427755197,"none","2001-5",17.0878136200717,2001,8,1.524,0.774921594982082,-7.1881999767875
"706",2001,6,15.0925925925926,22.6296296296296,1.29060240842018,"none","2001-6",18.8611111111111,2001,9,0,1.181792278966,-2.25063290401266
"707",2001,7,14.8028673835125,22.3835125448029,1.28358771978844,"none","2001-7",18.5931899641577,2001,10,0,-0.920776505453922,-0.554181817454545
"708",2001,8,15.0358422939068,22.7777777777778,1.28694164794787,"none","2001-8",18.9068100358423,2001,11,0,-1.10407876230661,-0.739493670594937
"709",2001,9,15.6481481481482,23.5555555555556,1.3538301496213,"none","2001-9",19.6018518518519,2001,12,0,0.116406250000004,-4.6958249964375
"710",2001,10,14.0591397849462,21.1469534050179,1.0840532642277,"none","2001-10",17.6030465949821,2002,1,15.24,-0.168334711883109,-0.30284613747436
"711",2001,11,11.2222222222222,19.4814814814815,1.38929690562821,"none","2001-11",15.3518518518519,2002,2,105.41,0.203406932573602,59.0940769632308
"712",2001,12,7.831541218638,17.4820788530466,1.50736345664171,"none","2001-12",12.6568100358423,2002,3,55.118,-0.16782911944202,-18.5522972215811
"713",2002,1,7.20430107526882,17.4551971326165,1.12244543317935,"none","2002-1",12.3297491039427,2002,4,27.686,-0.223784578623288,-72.8849741778077
"714",2002,2,8.03571428571429,20.6746031746032,0.555739918396707,"none","2002-2",14.3551587301587,2002,5,9.652,1.2132537401934,-91.9512562284359
"715",2002,3,8.61111111111112,18.7096774193548,-0.0579099168178569,"none","2002-3",13.660394265233,2002,6,10.414,-0.294678099904726,-68.4214170578608
"716",2002,4,10.5185185185185,18.3333333333333,-0.281791017144795,"none","2002-4",14.4259259259259,2002,7,1.016,-0.859427609427605,-31.3077661912208
"717",2002,5,11.2544802867384,19.1935483870968,-0.2913270549172,"none","2002-5",15.2240143369176,2002,8,3.556,-1.08887768817204,-5.1561999767875
"718",2002,6,14.3148148148148,20.7962962962963,-0.244227291054324,"none","2002-6",17.5555555555556,2002,9,0,-0.123763276589557,-2.25063290401266
"719",2002,7,15.8064516129032,23.1899641577061,-0.249169045038729,"none","2002-7",19.4982078853047,2002,10,0.254,-0.0157585843069761,-0.300181817454545
"720",2002,8,14.15770609319,22.1863799283154,-0.280116784230389,"none","2002-8",18.1720430107527,2002,11,0.508,-1.83884578739622,-0.231493670594937
