ID date mm Flag
200 1961-01-26  0.70 P
200 1961-01-31  0.01 P
200 1961-02-11  0.02 P
200 1961-03-15  0.79 -999
200 1961-03-17  0.05 D
200 1961-03-24  0.03 -999
200 1961-04-22  0.05 P
200 1961-09-16  0.08 P
200 1961-11-20  1.42 D
200 1961-11-25  0.66 D
200 1961-11-26  0.03 P
200 1961-11-29  0.20 P
200 1961-12-01  0.33 -999
200 1961-12-02  0.64 P
200 1961-12-14  0.08 P
200 1962-01-12  0.09 -999
200 1962-01-20  1.86 -999
200 1962-01-21  0.27 -999
200 1962-01-22  0.24 D
200 1962-02-07  1.68 D
200 1962-02-08  2.35 -999
200 1962-02-09  1.97 -999
200 1962-02-10  1.89 -999
200 1962-02-11  1.30 -999
200 1962-02-13  0.09 -999
200 1962-02-14  0.37 -999
200 1962-02-15  0.69 D
200 1962-02-16  0.27 D
200 1962-02-18  1.67 D
200 1962-02-19  0.89 D
200 1962-02-20  0.54 D
200 1962-02-21  0.03 D
200 1962-02-24  0.08 -999
200 1962-03-05  0.33 P
200 1962-03-06  0.29 P
200 1962-03-07  0.02 P
200 1962-03-20  0.14 P
200 1962-03-22  0.58 D
200 1962-03-28  0.01 D
200 1962-05-14  0.04 D
200 1962-07-17  0.02 -999
200 1962-07-18  0.01 -999
200 1962-10-14  0.48 -999
200 1962-12-15  0.02 -999
200 1962-12-16  0.04 -999
200 1963-01-29  0.16 P
200 1963-01-30  0.54 P
200 1963-01-31  1.54 P
200 1963-02-01  0.17 P
200 1963-02-02  0.01 P
200 1963-02-09  2.91 P
200 1963-02-10  1.75 -999
200 1963-02-12  0.15 P
200 1963-02-13  0.07 P
200 1963-03-14  0.07 P
200 1963-03-16  1.91 P
200 1963-03-22  0.42 P
200 1963-03-23  0.01 -999
200 1963-03-27  0.06 -999
200 1963-03-28  1.19 -999
200 1963-04-07  0.06 -999
200 1963-04-13  0.01 -999
200 1963-04-14  1.26 -999
200 1963-04-15  0.06 -999
200 1963-04-19  0.01 -999
200 1963-04-20  0.15 -999
200 1963-04-25  0.81 -999
200 1963-04-26  0.38 -999
200 1963-05-08  0.19 P
200 1963-05-09  0.07 P
200 1963-06-10  0.02 -999
200 1963-06-11  0.25 -999
200 1963-06-12  0.04 -999
200 1963-08-08  0.18 P
200 1963-09-04  0.33 P
200 1963-09-06  0.02 -999
