rhessys_version,tec_file,world_file,world_hdr_prefix,flow_file,start_date,end_date,output_folder,output_filename,command_options,par_dated_id,dated_id,par_id,../defs/veg_decid.def:epc.day_leafon,../defs/veg_decid.def:epc.day_leafoff,../defs/veg_decid.def:epc.ndays_expand,../defs/veg_decid.def:epc.ndays_litfall,../defs/veg_decid.def:group_id,def_id,../defs/stdbasin.def:group_id,../defs/stdhillslope.def:group_id,../defs/stdzone.def:group_id,../defs/shallow_NT.def:group_id,../defs/lu_undev.def:group_id,all_id,hdr_id
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,30,0,30,288.272033736575,140.819292753004,38.836752763018,84.8423070972785,30,30,0,0,0,0,0,30,30
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,31,0,31,271.201465942431,142.993530062959,86.4432031614706,57.6248904084787,31,31,0,0,0,0,0,31,31
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,32,0,32,299.777598062064,104.045353867114,38.7003458593972,81.393501595594,32,32,0,0,0,0,0,32,32
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,33,0,33,270.740935474169,118.670574780554,82.9610494477674,34.7018509777263,33,33,0,0,0,0,0,33,33
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,34,0,34,260.082364617847,124.020497761667,60.2183317858726,81.8956973869354,34,34,0,0,0,0,0,34,34
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,35,0,35,251.338365743868,130.643731690943,32.8133087069727,44.8112880298868,35,35,0,0,0,0,0,35,35
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,36,0,36,275.766707281582,112.505718246102,115.482905795798,51.778809344396,36,36,0,0,0,0,0,36,36
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,37,0,37,295.171882945579,129.072296381928,100.107354428619,56.9554154807702,37,37,0,0,0,0,0,37,37
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,38,0,38,259.942213958129,129.327617380768,31.0909835714847,57.3137330403551,38,38,0,0,0,0,0,38,38
~/RHESSys-develop/bin/rhessys7.2,../tecfiles/tec.coast,../worldfiles/EucPatch.world.0,../worldfiles/EucPatch.hdr,../flowtables/OakPatch.flow,1940 10 1 1,2010 10 2 2,../out/gsi/,decid.gsi,-b -g -c -climrepeat -vmort_off,39,0,39,274.114432476927,104.61241453886,77.6468446548097,84.2524987226352,39,39,0,0,0,0,0,39,39
